Name,Website,Phone,Email,Location,Category,Description
SunTime Exotic Car Rental,suntimeexoticcarrentalsnashville.com,,,Nashville TN,Exotic/Luxury,"Exquisite luxury exotic car rentals focused on premium driving"
Music City Dream Cars,mcdcrentals.com,,,Nashville TN,Exotic/Luxury,"Exclusive exotic luxury rental Ferrari Lamborghini Rolls Royce"
Silicon Valley Exotics,svexotic.com,,,San Francisco Bay Area CA,Exotic/Luxury,"Chauffeured classic cars for weddings photoshoots VIP events"
Vault Exotics,vaultexoticsnorcal.com,,,San Francisco Bay Area CA,Exotic/Luxury,"Premier high-end supercars for events coastal drives"
Cruisin Maui Rent-a-Car,cruisinmaui.com,,,Maui HI,Independent Local,"Affordable car rentals and adventure gear near Kahului Airport"
Makoa Rental Car Maui,carrentalmaui.com,(808) 866-0286,,Maui HI,Independent Local,"5.0 Google-rated Kahului Airport car rental transparent pricing"
Kihei Auto Rental,kiheiautorental.com,,,Maui HI,Independent Local,"Family vehicle rentals for Maui island exploration"
Kimos Rent A Car,kimosrentacar.com,,,Maui HI,Independent Local,"Budget Maui car rental from $140/week free extra drivers"
ECO Rental Car,ecorentalcar.com,,,Maui HI,EV Rental,"Specializes in electric vehicles and hybrid cars on Maui"
Island Rental Cars,islandrentalcars.com,,,Multiple Islands HI,Independent Local,"Kauai Maui Oahu Big Island jeeps convertibles vans compacts"
HiloRentalCars.com,hilorentalcars.com,,,Big Island HI,Independent Local,"Locally-owned car rental in Hilo and Kona weekly monthly discounts"
Car Rental Big Island,carrentalbigisland.com,,,Kona Big Island HI,Independent Local,"Locally owned Kona airport car rental no hidden fees"
Rainbow Car Rentals,rainbowcarrentals.com,,,Big Island HI,Independent Local,"Small locally owned economy vehicles SUVs 4x4s vans"
Cheap Kona Car Rental,cheapkonacarrental.com,,,Big Island HI,Independent Local,"Affordable car rental locations in both Hilo and Kona"
EZ Affordable Car Rentals,ezsaffordablecarrentals.com,,,Kapolei Oahu HI,Independent Local,"Veteran-owned small business quality community car rental"
808 Smart Car Rentals,808smartcars.com,(808) 458-1313,,Honolulu HI,Independent Local,"Cars minivans specialty vehicles in Honolulu"
Baba Rentals,babarentalshawaii.com,,,Ewa Beach Oahu HI,Independent Local,"Veteran and family-operated affordable Oahu rentals"
Key West Adventures,keywestadventures.com,,,Key West FL,Independent Local,"Jeep convertible rentals plus beach amenities in Key West"
Youngs Bicycle Shop Car Rentals,youngsbicycleshop.com,,,Nantucket MA,Independent Local,"Fuel efficient sedans and 4x4 Jeep rentals on Nantucket"
B&R Rent A Car,bandrrentacar.com,(252) 473-2141,,Manteo NC,Independent Local,"Serving Dare County Airport with affordable Outer Banks vehicle rentals"
Baker Automotive Rentals,bakerautomotiverentals.com,(910) 833-1660,,Wilmington NC / Charleston SC,Independent Local,"Premium vehicle rentals luxury models NC SC 35+ years experience"
Winter Wagon,winterwagon.com,,,Aspen CO,Specialty,"One-way winter-ready car rentals to/from Aspen ski resorts"
Vail Rental Cars,vailrentalcars.com,(970) 453-7368,info@vailrentalcars.com,Vail CO,Independent Local,"Premier Vail Valley rental 4 locations DEN airport Breckenridge all AWD"
iDrive Denver,idrivedenver.com,,,Denver CO,Independent Local,"Family-owned local rental personalized Colorado adventure service"
Sun Diego Car Rental,sundiegocarrental.com,(619) 298-5990,,San Diego CA,Independent Local,"Since 1993 vans cars trucks San Diego and Baja unlimited mileage"
CMW Car Rentals,cmwcarrentals.com,,,San Diego CA,Independent Local,"Family-owned 20+ years Kearny Mesa drivers 18+ no mileage limits"
Express Rent a Cheap Car,expressrentacheapcar.com,,,San Diego CA,Independent Local,"Number one source affordable car rental San Diego students travelers"
RENTY,renty.biz,,,San Diego CA,Independent Local,"Long-term rentals radical price transparency no hidden fees"
A.P.S Rent-A-Car,tucsonautorental.com,,,Tucson AZ,Independent Local,"Local Tucson auto rental cheap car rentals unlimited miles"
SOVA Automotive,sovaautomotive.com,,,Virginia Beach VA,Independent Local,"Car rental and lease-to-own with affordable rates local service"
907 Car Rental,907carrental.com,,,Anchorage AK,Independent Local,"Locally owned affordable luxury car rental in Anchorage"
Alaska Auto Rental,alaskaautorental.com,,,Anchorage AK,Independent Local,"Locations in Anchorage Fairbanks Denali Seward Whittier"
VonNay Car Rentals,vonnaycarrental.com,,,Salem MA,Independent Local,"Family-owned independent serving North Shore Massachusetts"
Work Ride NYC,workridenyc.com,,,Long Island NY,Independent Local,"Affordable reliable car rental deals on Long Island"
Real EZ Rent a Car,realezrentacar.com,,,Cleveland OH,Independent Local,"Local Cleveland-only rentals flexible payment cash credit debit"
Americars Auto Rental,americarsrc.com,,,Fort Lauderdale FL,Independent Local,"Local expertise South Florida car rentals"
Car For Long,carforlong.com,,,Miami FL,Independent Local,"Long-term monthly rentals in Miami 9+ years in business"
Florida Van Rentals,carrentalexpress.com,,,Orlando FL,Independent Local,"Family-owned since 2000 expanded to Tampa Miami Palm Beach cruise ports"
The Kemray Edition,thekemrayedition.com,,,Orlando / Tampa FL,Rideshare,"Uber Lyft DoorDash approved vehicles no credit check unlimited miles"
SkyCar,getskycar.com,,,Las Vegas NV,Independent Local,"Local team honest pricing clean vehicles real people answering phones"
Cash Car Rental / Snap Auto,snapautocashrentals.com,,,Las Vegas NV,Independent Local,"Family-owned cash rental without credit cards or checks required"
Envy GO Car Rentals,envygocarrentals.com,,,Las Vegas NV,Independent Local,"Premium car rental high-end vehicles hassle-free booking"
South Lake Tahoe Car Rental,southlaketahoecarrental.com,,,South Lake Tahoe CA,Independent Local,"Delivery-based rental to hotels homes businesses in South Tahoe"
Rent-A-Car Montana,rentacarmt.com,(406) 500-7368,,Bozeman MT,Independent Local,"Independent rental car operator in Bozeman Montana"
NOW Rent A Car,nowrentacar.com,,,Portland OR,Independent Local,"Cheap rental cars Portland Wilsonville Woodburn cash payment options"
TurnNGo,turnngo.com,,,Pittsburgh PA,Independent Local,"No credit check unlimited miles affordable weekly rates Pittsburgh"
Premier Carriage Auto Group,pcagrentals.com,,,Philadelphia PA,Independent Local,"Flexible car rental and rent-to-own programs low upfront cost"
800ExotiCars,800exoticars.com,,,Multi-city,Exotic/Luxury,"Award-winning white-glove exotic car rentals in 10+ states"
RentX,rentx.com,,,Multi-city,Exotic/Luxury,"Exotic luxury car rental marketplace serving multiple US cities"
Manaloha Rent a Car,manaloharentacar.net,,,Wailuku Maui HI,Independent Local,"Wailuku-based rental with airport delivery for Kahului Airport"
DriveAway Rentals,driveawayrentals.com,(843) 547-3500,,Charleston SC,Independent Local,"Community-based Toyota specialist cash/debit payment options"
"GoldStar Rental PDX",goldstarrentalpdx.com,,,Portland OR,Exotic/Luxury,"Portland car rental offering Tesla Model 3 BMW Porsche Cayenne and Ford vehicles from $60-98/day"
"NOW Rent A Car",nowrentacar.com,(503) 954-2979,,"Portland, OR",Independent Regional,"Full-service car van and truck rental serving the greater Portland Metro area with locations in Portland Wilsonville and Woodburn"
"Kendall Rent-A-Car",kendallrentacar.com,(541) 242-5820,,"Eugene, OR",Independent Local,"Locally operated rental offering insurance specials and great daily and weekly rates on compact sedans to SUVs"
"Astoria Ford Rental Department",astoriaford.com/rental-department.htm,(503) 325-6411,,"Astoria, OR",Independent Local,"Ford dealership rental department offering competitive rates on new Ford models with complimentary shuttle service"
"High River Rentals",spokanerentalcar.com,,,"Airway Heights, WA",Independent Local,"Locally owned rental car agency in Spokane area with delivery options and locations at Spokane Airport and Amtrak Station"
"Noller Rentals",nollerautogroup.com/vehicle-rental-topeka-ks/,(785) 235-9211,,"Topeka, KS",Independent Local,"Locally owned rental offering clean reliable sedans SUVs trucks and Class A RVs with complimentary delivery"
"Budget Car and Truck Rental of Wichita",budgetwichita.com,(800) 404-8033,,"Wichita, KS",Independent Regional,"Independent Budget licensee since 1977 with five Wichita-area locations offering fuel-efficient vehicles and moving trucks"
"Budget Car and Truck Rental of Nebraska",budgetnebraska.com,(800) 404-8033,,"Omaha, NE",Independent Regional,"Independent Budget licensee since 1962 serving Omaha Lincoln and Grand Island with cars SUVs and moving trucks"
"Vern Eide Auto Rentals",verneiderentals.com,(605) 349-1222,,"Sioux Falls, SD",Independent Local,"Locally owned rental offering economy through premium vehicles with unlimited mileage and honest pricing"
"Team Car Rentals",teamcarrental.biz,(605) 342-8326,,"Rapid City, SD",Independent Regional,"Locally owned facility offering rental cars UTVs and Vanderhall vehicles with locations in Rapid City Hill City and Cody WY"
"Black Hills Car Rentals",blackhillscarrental.net,(605) 342-6696,,"Rapid City, SD",Independent Local,"Clean late-model cars minivans SUVs pickups and 15-passenger vans with free airport and hotel pickup/drop-off"
"Casey's Auto Rental Service",caseysautorental.com,(605) 343-2277,frankie@caseysautorental.com,"Rapid City, SD",Independent Local,"Family-run rental since 1989 offering cars trucks vans and wheelchair-accessible vehicles for Black Hills area"
"Green Mountain Car Rental",vtcarrental.com,(802) 775-1808,,"Rutland, VT",Independent Local,"Independent car and truck rental offering economy to premium vehicles with free pickup/drop-off at Rutland Airport"
"New England Exotic",newenglandexotic.com,(603) 301-5171,angel@newenglandexotic.com,"Medford, MA",Exotic/Luxury,"Exotic and luxury car rental offering sports cars convertibles SUVs and economy options across New England"
"Vorenza Rental Cars LLC",vorenzarentals.com,(603) 661-2672,info@vorenzarentals.com,"Derry, NH",Independent Local,"New Hampshire premier car rental with economy to luxury vehicles accepting drivers 18+ with 24/7 support"
"Christy's Car & Truck Rental",christysauto.com,(401) 944-9800,,"Johnston, RI",Independent Local,"Rhode Island's only locally owned car and truck rental offering cars SUVs minivans pickups and box trucks"
"Northeast Auto Rentals",northeastautorentals.com,(401) 283-7125,pallienello51@gmail.com,"Johnston, RI",Independent Local,"Local rental offering cars SUVs trucks multi-passenger vehicles RVs and luxury rentals with 24/7 road assistance"
"Reyes Car Rentals",reyescarrentals.com,(800) 909-5045,,"Middleton, MA",Independent Regional,"Weekly and long-term car rentals across MA RI and NH for personal rideshare and delivery use with no deposit"
"Richmond Motor Sales & Rental",richmondrentalri.com,(401) 270-6800,,"Providence, RI",Independent Local,"Flexible daily car rental with no credit card or deposit required offering diverse fleet in Providence"
"Rent-A-Wreck of East Haven",rentawreck.com/central-ct-car-rental.htm,(203) 469-7331,,"East Haven, CT",Independent Local,"Family owned for over 20 years offering affordable compact standard and full-size cars plus vans and trucks"
"Johnson's Town Line Auto",johnsonstownlineauto.com,(207) 255-4996,,"East Machias, ME",Independent Local,"Small-town Maine business offering auto repair towing and car rental services since 2010"
"BMC Auto Rental",bmcauto.com,(859) 431-8500,RENTME@BMCAUTO.com,"Newport, KY",Independent Regional,"20-year-old rental agency with four Kentucky locations offering compact cars sedans SUVs and multi-passenger vans"
"Luv Enterprises",luvcars.us,(304) 853-3005,,"Charleston, WV",Independent Local,"Boutique car rental offering personalized service with delivery within 25 miles and airport/train station pickup"
"Pigeon Forge Auto Rental",pigeonforgeautorentals.com,(865) 229-6355,,"Pigeon Forge, TN",Independent Local,"Locally owned car rental with pickup available throughout Pigeon Forge for Smoky Mountains visitors"
"Southland Jeep & Car Rentals",southlandcarjeeprental.com,(865) 436-9811,,"Gatlinburg, TN",Independent Local,"Specialty Jeep and car rental offering daily weekly and monthly Jeeps and vans for Smoky Mountains exploration"
"Guardian Rent A Car",guardianrentacar.com,(850) 456-0351,,"Pensacola, FL",Independent Local,"Value car rental since 1990 offering military/government rates free local pickup and current model vehicles"
"Galveston Island Car Rentals",galvestonislandcarrentals.com,(409) 392-6010,galvestonslingshotrentals@gmail.com,"Galveston, TX",Independent Local,"Affordable island rental accepting cash and credit card payments with no credit checks required"
"Bay Area Auto & Truck Rental",baautorental.com,(281) 337-8395,,"Dickinson, TX",Independent Regional,"Car SUV pickup and van rental serving Houston Galveston and Gulf South regions for personal and commercial use"
"Martha's Vineyard Auto Rentals",mvautorental.com,(508) 696-5300,,"Oak Bluffs, MA",Island Rental,"Family of island locations offering Jeeps sedans and SUVs with airport and ferry pickup on Martha's Vineyard"
"Sun 'n' Fun Rentals",sunnfunrentals.com,(508) 693-5457,sunnfunrentals@gmail.com,"Oak Bluffs, MA",Island Rental,"Locally owned since 1982 specializing in Jeep Wrangler rentals with 30+ Wranglers and complimentary island pickup"
"Budget Martha's Vineyard",budgetmv.com,,,"Martha's Vineyard, MA",Island Rental,"Family-owned for nearly 30 years offering Jeeps convertibles and specialty vehicles at 4 island locations"
"Nantucket Island Rent-A-Car",nantucketislandrentacar.com,(508) 228-9989,info@nantucketislandrentacar.com,"Nantucket, MA",Island Rental,"Year-round island rental with beach-permit vehicles including Jeep Wranglers and Land Rover Defenders"
"Orcas Island Car Rentals",orcascars.com,(206) 705-3999,,"Orcas Island, WA",Island Rental,"Island-owned car rental serving San Juan Islands with brand new vehicles and white-glove pickup at ferries"
"M & W Auto Rentals and Sales",sanjuanauto.com,(360) 378-2886,info@sanjuanauto.com,"Friday Harbor, WA",Island Rental,"Operating since 1988 with 6+ island locations offering economy to convertible rentals in San Juan Islands"
"Catalina Island Golf Cart",catalinaislandgolfcart.com,(310) 510-0369,info@catalinaislandgolfcart.com,"Avalon, CA",Island Rental,"Golf cart rentals for exploring Avalon on Catalina Island with 4- and 6-passenger carts"
"Sanibel Car Rentals",islandtaxi.com/car-rentals/,(239) 579-0059,ride@islandtaxi.com,"Sanibel, FL",Island Rental,"Flexible car rentals from midsize to passenger vans for exploring Sanibel and Captiva Islands"
"Breckenridge Rental Car",breckenridgerentalcar.com,(970) 453-7368,info@breckenridgerentalcar.com,"Breckenridge, CO",Mountain Rental,"Summit County's premier rental agency offering SUVs and Jeep Wranglers with door-to-door pickup"
"Easy Auto Rentals Steamboat",easyautorentalssteamboat.com,(970) 896-5080,info@easyautorentalssteamboat.com,"Steamboat Springs, CO",Mountain Rental,"Yampa Valley car rental with weekend and evening delivery offering SUVs and trucks from $33/day"
"Winter Wagon",winterwagon.com,,help@winterwagon.com,"Colorado (multiple ski towns)",Mountain Rental,"Ski resort car and shuttle service with vehicles equipped with studded snow tires and ski racks"
"Park City Car Rentals",parkcitycarrentals.com,(435) 658-2227,info@parkcitycarrental.com,"Park City, UT",Mountain Rental,"Utah ski town rental with free ski racks and child seats plus complimentary pickup/dropoff"
"Whitefish Car Rentals",whitefishcarrentals.com,(406) 871-7654,,"Whitefish, MT",Mountain Rental,"Locally owned with 30+ vehicles serving Whitefish Kalispell and Columbia Falls near Glacier National Park"
"Explore Rentals",explore-rentals.com,(406) 922-0179,,"Belgrade, MT",Mountain Rental,"Bozeman's original 4WD car rental and outdoor gear agency since 2010 located near BZN airport"
"Hatch Adventures",hatchadventures.com,,info@hatchadventures.com,"Belgrade, MT",Mountain Rental,"Locally owned overlanding 4WD rental near Bozeman airport with Jeeps Broncos and Toyotas for Montana terrain"
"Journey Rent-A-Car",journeyrentacar.com,(406) 551-2277,,"Belgrade, MT",Mountain Rental,"Affordable AWD/4WD van and SUV rentals near Bozeman for trips to Yellowstone and Big Sky"
"Boise Auto Rentals",boiseautorentals.com,(208) 391-3724,nick@boiseautorentals.com,"Boise, ID",Independent Local,"Family-owned Boise rental with airport pickup offering daily/weekly rentals including luxury and exotic vehicles"
"Priceless Car Rental",pricelesscarrental.com,(877) 877-1400,,"Reno, NV",Independent Regional,"Franchise network since 1998 providing locally-owned neighborhood alternative to major chains across the US"
"Pro Rent-a-Car",prorentacar.com,(865) 312-6200,,"Alcoa, TN",Independent Local,"Knoxville-area rental serving corporate travel and insurance replacements with same-day availability"
"Rugged Rental & Sales",ruggedrental.com,(801) 977-9111,,"Salt Lake City, UT",Independent Regional,"Specializing in pickup trucks SUVs and passenger vans with UDOT-certified snow tires and airport shuttle"
"Affordable Rent-A-Car And Sales",affordablerentacarandsales.com,(801) 266-7368,,"Salt Lake City, UT",Independent Local,"Family-owned SLC rental with airport branch offering compacts to cargo vans plus used car sales"
"Cars on the Go",carsonthego.com,,,"El Paso, TX",Independent Local,"Affordable car rentals serving El Paso TX and southern New Mexico including Dona Ana and Otero Counties"
"Little Hawaii Rent A Car",littlehawaiirentals.com,(808) 374-2137,,"Honolulu, HI",Independent Regional,"Locally owned since 2006 with Oahu and Maui locations offering compacts to 15-passenger vans"
"ZEV Co-op",zev.coop,(833) 387-4273,goelectric@zev.coop,"Bainbridge Island, WA",Car Share Cooperative,"Nonprofit member-owned electric vehicle carsharing cooperative expanding across Washington State"
"Sacramento Community Car Share",,,,Sacramento CA,Car Share Cooperative,"Free-membership community car sharing program with vehicles at public housing and mutual housing locations"
